timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value,replica_change,replica_scaling_up,load_change,load_increasing,cpu_regime_encoded,time_idx,hour_pattern,growth_trend,cpu_cores_value_roll_mean,cpu_cores_value_lag_1,mem_bytes_value_roll_mean,mem_bytes_value_lag_1
t_0,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,0.0008677404105888,10362880.0,0.8677404105888711,1036288.0,6.0,3.0,3.2859298163740505,28.39252690824361,0.0,0.0008677404105888,1.0,0.6381530665974532,0.0,0,0.0,0,1,0,0.24019237886466838,1.0,0.0008677404105888,0.0008677404105888,10362880.0,10362880.0
t_1,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,0.0008917649445307,10383360.0,0.8917649445307151,1038336.0,6.0,3.0,3.190091868620684,28.31328821116053,2.4024533941844063e-05,0.0008917649445307,1.0,0.6457583055813922,0.0,0,0.0,0,1,1,0.2279520366228549,1.004225352112676,0.00087975267755975,0.0008677404105888,10373120.0,10362880.0
t_2,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,0.0008652820524014,10428416.0,0.8652820524014303,1042841.6,6.0,3.0,3.336549537570349,28.282396460244183,-2.6482892129284816e-05,0.0008652820524014,1.0,0.6399292443714246,0.0,0,0.0,0,1,2,0.21784083855072872,1.008450704225352,0.0008749291358403,0.0008917649445307,10391552.0,10383360.0
t_3,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,0.0008799167994967,10424320.0,0.8799167994967906,1042432.0,6.0,3.0,3.4108867373371368,28.231608745250057,1.4634747095360315e-05,0.0008799167994967,1.0,0.6439361436676172,0.0,0,0.0,0,1,3,0.20993791848247328,1.0126760563380282,0.0008789879321429334,0.0008652820524014,10412032.0,10428416.0
t_4,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,0.0008637727858276,10424320.0,0.8637727858276646,1042432.0,6.0,3.0,3.4452531313467034,28.12692688220875,-1.6144013669125998e-05,0.0008637727858276,1.0,0.63934535959476,0.0,0,0.0,0,1,4,0.20430512748279778,1.0169014084507042,0.0008696572125752334,0.0008799167994967,10425685.333333334,10424320.0
t_5,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,0.0008441408696969,10293248.0,0.8441408696969078,1029324.8,6.0,3.0,3.460369843598244,28.429631525266032,-1.963191613075675e-05,0.0008441408696969,1.0,0.6288122448981283,0.0,0,0.0,0,1,5,0.20098654977849478,1.0211267605633803,0.0008626101516737332,0.0008637727858276,10380629.333333334,10424320.0
t_6,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,0.0008094983221062,10293248.0,0.8094983221062928,1029324.8,6.0,3.0,3.480180453801381,28.30813547696937,-3.464254759061509e-05,0.0008094983221062,1.0,0.6189611348221787,0.0,0,0.0,0,1,6,0.20000815773959463,1.0253521126760563,0.0008391373258769,0.0008441408696969,10336938.666666666,10293248.0
t_7,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,0.0007882091429487,10293248.0,0.7882091429487256,1029324.8,6.0,3.0,3.5184540432960745,28.185875147524754,-2.128917915756722e-05,0.0007882091429487,1.0,0.6129072484340824,0.0,0,0.0,0,1,7,0.20137760861035453,1.0295774647887324,0.0008139494449172667,0.0008094983221062,10293248.0,10293248.0
t_8,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,0.0007823103012106,10293248.0,0.7823103012106825,1029324.8,6.0,3.0,3.5034841312761955,28.0480086901232,-5.8988417380431485e-06,0.0007823103012106,1.0,0.6112298273630694,0.0,0,0.0,0,1,8,0.2050841845809408,1.0338028169014084,0.0007933392554218334,0.0007882091429487,10293248.0,10293248.0
t_9,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,0.0007744720903584,10293248.0,0.774472090358488,1029324.8,6.0,3.0,3.4779143687164407,28.515304976530416,-7.838210852194457e-06,0.0007744720903584,1.0,0.6090009185998932,0.0,0,0.0,0,0,9,0.211098876668822,1.0380281690140845,0.0007816638448392333,0.0007823103012106,10293248.0,10293248.0
t_10,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,0.0006557294117647,9531392.0,0.6557294117647087,953139.2,6.0,1.0,3.5935063540097474,28.46345712962133,-0.0001187426785937,0.0006557294117647,1.0,0.5464599659200942,0.0,0,0.0,0,0,10,0.21937461175338963,1.0422535211267605,0.0007375039344445668,0.0007744720903584,10039296.0,10293248.0
t_11,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,0.0006163691459622,9379840.0,0.6163691459622346,937984.0,6.0,1.0,3.484193007538522,28.514959817302284,-3.936026580247411e-05,0.0006163691459622,1.0,0.5295432944509968,0.0,0,0.0,0,0,11,0.22984662098695063,1.0464788732394366,0.0006821902160284334,0.0006557294117647,9734826.666666666,9531392.0
t_12,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,0.0005394092314067,8687616.0,0.5394092314067548,868761.6000000001,6.0,1.0,3.532286620145996,28.807531571591326,-7.695991455547977e-05,0.0005394092314067,1.0,0.4815138262885955,0.0,0,0.0,0,0,12,0.24243294669877746,1.0507042253521126,0.0006038359297112,0.0006163691459622,9199616.0,9379840.0
t_13,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,0.0004693523919504,10338304.0,0.4693523919504814,1033830.4,6.0,1.0,3.5884619563338163,28.69244562324539,-7.005683945627336e-05,0.0004693523919504,1.0,0.5239374465059432,0.0,0,0.0,0,0,13,0.25703508382500406,1.0549295774647887,0.0005417102564397666,0.0005394092314067,9468586.666666666,8687616.0
t_14,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,0.000386516700235,10338304.0,0.3865167002350567,1033830.4,6.0,1.0,3.5517891051139827,28.88990135595803,-8.283569171542475e-05,0.000386516700235,1.0,0.5003819179995139,0.0,0,0.0,0,0,14,0.27353875084430834,1.0591549295774647,0.0004650927745307,0.0004693523919504,9788074.666666666,10338304.0
t_15,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,0.0002997149093854,10412032.0,0.2997149093854624,1041203.2,6.0,1.0,3.5772533884473745,28.87291459108863,-8.680179084959427e-05,0.0002997149093854,1.0,0.4784832252354234,0.0,0,0.0,0,0,15,0.29181478418576556,1.0633802816901408,0.0003851946671902667,0.000386516700235,10362880.0,10338304.0
t_16,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,0.0002368771966994,10215424.0,0.2368771966994808,1021542.4,6.0,1.0,3.53131200144216,28.67257431339817,-6.283771268598157e-05,0.0002368771966994,1.0,0.4531886690881657,0.0,0,0.0,0,0,16,0.311720149108917,1.0676056338028168,0.00030770293543993333,0.0002997149093854,10321920.0,10412032.0
t_17,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,0.0001402177341474,10215424.0,0.1402177341474151,1021542.4,6.0,1.0,3.507261085471086,28.750013251648937,-9.665946255206566e-05,0.0001402177341474,1.0,0.4257021511583909,0.0,0,0.0,0,0,17,0.33309905914454774,1.0718309859154929,0.0002256032800774,0.0002368771966994,10280960.0,10215424.0
t_18,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,7.894720816515882e-05,10215424.0,0.0789472081651588,1021542.4,6.0,1.0,3.549677083217688,28.99867582127557,-6.127052598225637e-05,7.894720816515882e-05,1.0,0.40827898981947,0.0,0,0.0,0,0,18,0.35578419533503153,1.076056338028169,0.0001520140463373196,0.0001402177341474,10215424.0,10215424.0
t_19,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,2.8093483715131728e-05,10227712.0,0.0280934837151317,1022771.2,6.0,1.0,3.4695317534983445,28.99749241820774,-5.085372445002709e-05,2.8093483715131728e-05,1.0,0.3942821057557873,0.0,0,0.0,0,0,19,0.3795980157320333,1.080281690140845,8.241947534256351e-05,7.894720816515882e-05,10219520.0,10215424.0
t_20,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,6.507195847285295e-05,10227712.0,0.0650719584728529,1022771.2,6.0,1.0,3.425239333397513,28.61907463304027,3.6978474757721225e-05,6.507195847285295e-05,1.0,0.4047974705489274,0.0,0,0.0,0,0,20,0.4043541449029756,1.084507042253521,5.737088345104783e-05,2.8093483715131728e-05,10223616.0,10227712.0
t_21,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,0.0001009128855522,10231808.0,0.1009128855522376,1023180.8,6.0,1.0,3.2530578632799347,28.616214742293025,3.584092707938472e-05,0.0001009128855522,1.0,0.4151440601568788,0.0,0,0.0,0,0,21,0.4298588325714953,1.0887323943661973,6.469277591339489e-05,6.507195847285295e-05,10229077.333333334,10227712.0
t_22,shippingservice_browsing_replicas_2_users_5,shippingservice,browsing,2,5,0.000841262359415,10403840.0,0.8412623594150741,1040384.0,6.0,1.0,3.361038473599976,28.92629100029363,0.0007403494738628,0.000841262359415,1.0,0.6321706790129847,0.0,0,0.0,0,1,22,0.4559124699760526,1.0929577464788731,0.000335749067813351,0.0001009128855522,10287786.666666666,10231808.0
