timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value,replica_change,replica_scaling_up,load_change,load_increasing,cpu_regime_encoded,time_idx,hour_pattern,growth_trend,cpu_cores_value_roll_mean,cpu_cores_value_lag_1,mem_bytes_value_roll_mean,mem_bytes_value_lag_1
t_0,recommendationservice_checkout_replicas_1_users_5,recommendationservice,checkout,1,5,0.0012892540781793,45080576.0,1.2892540781793649,4508057.600000001,0.0,2.0,4.156434389341499,29.01953330034597,0.0,0.0012892540781793,1.0,0.5091853102230554,0.0,0,0.0,0,1,0,0.24019237886466838,1.0,0.0012892540781793,0.0012892540781793,45080576.0,45080576.0
t_1,recommendationservice_checkout_replicas_1_users_5,recommendationservice,checkout,1,5,0.0014246591107236,45051904.0,1.4246591107236264,4505190.4,0.0,2.0,4.15394976949068,28.723830458773307,0.0001354050325442,0.0014246591107236,1.0,0.5146125840921074,0.0,0,0.0,0,1,1,0.23145101259348133,1.0029411764705882,0.00135695659445145,0.0012892540781793,45066240.0,45080576.0
t_2,recommendationservice_checkout_replicas_1_users_5,recommendationservice,checkout,1,5,0.0014405820476858,45051904.0,1.4405820476858344,4505190.4,0.0,2.0,3.8258890374579977,28.718159985739987,1.5922936962207935e-05,0.0014405820476858,1.0,0.5152848158812926,0.0,0,0.0,0,1,2,0.22372834461651392,1.0058823529411764,0.0013848317455295665,0.0014246591107236,45061461.333333336,45051904.0
t_3,recommendationservice_checkout_replicas_1_users_5,recommendationservice,checkout,1,5,0.0013946474421604,44998656.0,1.394647442160453,4499865.600000001,0.0,2.0,4.06504065040653,28.846559218598955,-4.5934605525381e-05,0.0013946474421604,1.0,0.5128084109869059,0.0,0,0.0,0,1,3,0.21705366965861672,1.0088235294117647,0.0014199628668566,0.0014405820476858,45034154.666666664,45051904.0
t_4,recommendationservice_checkout_replicas_1_users_5,recommendationservice,checkout,1,5,0.0014397118253252,44871680.0,1.4397118253252166,4487168.0,0.0,2.0,4.306457865716624,29.02236853686263,4.50643831647632e-05,0.0014397118253252,1.0,0.5134300454170634,0.0,0,0.0,0,1,4,0.21145230704815426,1.011764705882353,0.0014249804383904667,0.0013946474421604,44974080.0,44998656.0
t_5,recommendationservice_checkout_replicas_1_users_5,recommendationservice,checkout,1,5,0.0014418648160787,44863488.0,1.441864816078773,4486348.8,0.0,2.0,4.280284510686926,28.727923061049538,2.1529907535565093e-06,0.0014418648160787,1.0,0.5134383022085084,0.0,0,0.0,0,1,5,0.2069455046721198,1.0147058823529411,0.0014254080278547666,0.0014397118253252,44911274.666666664,44871680.0
t_6,recommendationservice_checkout_replicas_1_users_5,recommendationservice,checkout,1,5,0.0014204326702722,44867584.0,1.4204326702722516,4486758.4,0.0,2.0,4.192717400161399,28.72937766065374,-2.143214580652142e-05,0.0014204326702722,1.0,0.5125748024957423,0.0,0,0.0,0,1,6,0.2035503583756222,1.0176470588235293,0.0014340031038920335,0.0014418648160787,44867584.0,44863488.0
t_7,recommendationservice_checkout_replicas_1_users_5,recommendationservice,checkout,1,5,0.0014082782666565,44847104.0,1.4082782666565392,4484710.4,0.0,2.0,4.161542944202012,28.71660676921347,-1.2154403615712364e-05,0.0014082782666565,1.0,0.5118550754970137,0.0,0,0.0,0,1,7,0.20127974711148966,1.0205882352941176,0.0014235252510024666,0.0014204326702722,44859392.0,44867584.0
t_8,recommendationservice_checkout_replicas_1_users_5,recommendationservice,checkout,1,5,0.0014137255678483,44740608.0,1.413725567848386,4474060.8,0.0,2.0,4.170031038646144,29.03804862751132,5.447301191846641e-06,0.0014137255678483,1.0,0.511010757332454,0.0,0,0.0,0,1,8,0.20014228408599022,1.0235294117647058,0.0014141455015923333,0.0014082782666565,44818432.0,44847104.0
t_9,recommendationservice_checkout_replicas_1_users_5,recommendationservice,checkout,1,5,0.0014112888354653,44679168.0,1.4112888354653426,4467916.8,0.0,2.0,4.263245748544946,28.549401777422105,-2.436732383043292e-06,0.0014112888354653,1.0,0.5102881002986428,0.0,0,0.0,0,1,9,0.20014228408599022,1.026470588235294,0.0014110975566567,0.0014137255678483,44755626.666666664,44740608.0
