timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value
t_0,shippingservice_checkout_replicas_2_users_50,shippingservice,checkout,2,50,0.00031812739486705027,0.0,0.3181273948670503,0.0,6.0,1.0,3.4674689245449315,29.022245265709728,0.0,0.00031812739486705027,1.0,0.09079640448462815
t_1,shippingservice_checkout_replicas_2_users_50,shippingservice,checkout,2,50,0.0002717162252088188,9158656.0,0.2717162252088188,915865.6000000001,6.0,1.0,3.4025951578453117,28.70901326619493,-4.6411169658231474e-05,0.0002717162252088188,1.0,0.44543441389179034
t_2,shippingservice_checkout_replicas_2_users_50,shippingservice,checkout,2,50,0.00022648921908885336,8306688.0,0.22648921908885336,830668.8,6.0,1.0,3.4097503098903132,28.76436201384631,-4.5227006119965434e-05,0.00022648921908885336,1.0,0.3983044382598341
t_3,shippingservice_checkout_replicas_2_users_50,shippingservice,checkout,2,50,0.00018090831552059275,8753152.0,0.18090831552059275,875315.2000000001,6.0,1.0,3.4734877105649815,29.191274670564,-4.558090356826061e-05,0.00018090831552059275,1.0,0.4032287713782513
t_4,shippingservice_checkout_replicas_2_users_50,shippingservice,checkout,2,50,0.00012139999999999998,9465856.0,0.12139999999999998,946585.6000000001,6.0,1.0,3.230884335600166,29.00449421969236,-5.950831552059277e-05,0.00012139999999999998,1.0,0.414872403867827
t_5,shippingservice_checkout_replicas_2_users_50,shippingservice,checkout,2,50,9.202168465130411e-05,9596928.0,0.09202168465130411,959692.8,6.0,1.0,3.170700841404738,28.93272575447493,-2.9378315348695875e-05,9.202168465130411e-05,1.0,0.4117524596132484
t_6,shippingservice_checkout_replicas_2_users_50,shippingservice,checkout,2,50,7.680568537348455e-05,9613312.0,0.07680568537348455,961331.2000000001,6.0,1.0,3.0847861703006743,28.763671695390087,-1.5215999277819558e-05,7.680568537348455e-05,1.0,0.40806778851677816
t_7,shippingservice_checkout_replicas_2_users_50,shippingservice,checkout,2,50,0.00011707734769139985,9625600.0,0.11707734769139984,962560.0,6.0,1.0,3.1648363180669463,29.087085892134297,4.0271662317915296e-05,0.00011707734769139985,1.0,0.42005526463097154
t_8,shippingservice_checkout_replicas_2_users_50,shippingservice,checkout,2,50,0.00017476074856745478,9596928.0,0.17476074856745477,959692.8,6.0,1.0,3.154037429655645,29.041179714794936,5.7683400876054936e-05,0.00017476074856745478,1.0,0.43536692864427873
t_9,shippingservice_checkout_replicas_2_users_50,shippingservice,checkout,2,50,0.0002197306767043279,9601024.0,0.2197306767043279,960102.4,6.0,1.0,3.1273882676563005,28.845720974759246,4.496992813687311e-05,0.0002197306767043279,1.0,0.448366276243814
t_10,shippingservice_checkout_replicas_2_users_50,shippingservice,checkout,2,50,0.0002614946014419027,9527296.0,0.26149460144190273,952729.6000000001,6.0,1.0,3.100484476743162,28.84653456436837,4.176392473757482e-05,0.0002614946014419027,1.0,0.4573245734932798
t_11,shippingservice_checkout_replicas_2_users_50,shippingservice,checkout,2,50,0.00030615406395631415,9498624.0,0.30615406395631417,949862.4,6.0,1.0,3.1434386609527394,29.12362346185337,4.4659462514411434e-05,0.00030615406395631415,1.0,0.4689190889851249
