ycpu,endpoint,id,instance,job,metrics_path,namespace,node,pod,service,value
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0003103536603517567
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.00027979929559307834
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0002854604016941814
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0002846799082060612
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0002909106280448497
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0002754014907763033
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0002879430034165647
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.00027693718005835093
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0002505746911516776
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.00020508214201580348
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.00018020465274073874
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.00015754538930138088
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.000129107955111823
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,8.870777886122679e-05
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,6.346188816282965e-05
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,3.228729435727722e-05
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod2412a856_6d0a_44bb_98f1_c2799d578d9b.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-7xm6x,prometheus-kube-prometheus-kubelet,4.848364383840555e-05
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod2412a856_6d0a_44bb_98f1_c2799d578d9b.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-7xm6x,prometheus-kube-prometheus-kubelet,7.644010865332179e-05
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.000387444603288063
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.0003626722413601513
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.00035999943890361756
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.0003398956116347421
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.00034205030815015285
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.0003396454947245811
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.0003182017367039083
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.0003213794512402
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.0003371639830644958
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.0002982849381172191
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.00030216834002446107
