timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value,replica_change,replica_scaling_up,load_change,load_increasing,cpu_regime_encoded,time_idx,hour_pattern,growth_trend,cpu_cores_value_roll_mean,cpu_cores_value_lag_1,mem_bytes_value_roll_mean,mem_bytes_value_lag_1
t_0,productcatalogservice_checkout_replicas_1_users_75,productcatalogservice,checkout,1,75,0.0001814663414745,8458240.0,0.1814663414745653,845824.0,6.0,4.0,2.3679405315712927,27.797990137814693,0.0,0.0001814663414745,1.0,0.2230619978039441,0.0,0,0.0,0,0,0,0.24019237886466838,1.0,0.0001814663414745,0.0001814663414745,8458240.0,8458240.0
t_1,productcatalogservice_checkout_replicas_1_users_75,productcatalogservice,checkout,1,75,0.0002243059939593,8572928.0,0.2243059939593848,857292.8,6.0,4.0,2.37303327506001,27.765372590757774,4.283965248481946e-05,0.0002243059939593,1.0,0.2275663725675307,0.0,0,0.0,0,0,1,0.23084682752701874,1.003157894736842,0.0002028861677169,0.0001814663414745,8515584.0,8458240.0
t_2,productcatalogservice_checkout_replicas_1_users_75,productcatalogservice,checkout,1,75,0.0002479858606134,8589312.0,0.2479858606134117,858931.2000000001,6.0,4.0,2.364801048923823,27.75166483855547,2.3679866654026943e-05,0.0002479858606134,1.0,0.2288533871584514,0.0,0,0.0,0,0,2,0.22267821452991982,1.0063157894736843,0.0002179193986824,0.0002243059939593,8540160.0,8572928.0
t_3,productcatalogservice_checkout_replicas_1_users_75,productcatalogservice,checkout,1,75,0.0002832514626019,8601600.0,0.2832514626019277,860160.0,6.0,4.0,2.3673232293302817,27.67476829337745,3.526560198851593e-05,0.0002832514626019,1.0,0.2304601937480568,0.0,0,0.0,0,0,3,0.2157222591396062,1.0094736842105263,0.00025184777239153336,0.0002479858606134,8587946.666666666,8589312.0
t_4,productcatalogservice_checkout_replicas_1_users_75,productcatalogservice,checkout,1,75,0.0003197498530894,8708096.0,0.3197498530894739,870809.6000000001,6.0,4.0,2.3366124428378328,27.325368537602277,3.649839048754626e-05,0.0003197498530894,1.0,0.2345225754801107,0.0,0,0.0,0,1,4,0.21000937797914337,1.0126315789473683,0.0002836623921015667,0.0002832514626019,8633002.666666666,8601600.0
t_5,productcatalogservice_checkout_replicas_1_users_75,productcatalogservice,checkout,1,75,0.000320027904789,8716288.0,0.320027904789028,871628.8,6.0,4.0,2.3351173500253,27.338632513654133,2.780516995540749e-07,0.000320027904789,1.0,0.2347423651306968,0.0,0,0.0,0,1,5,0.20556455202427465,1.0157894736842106,0.00030767640682676666,0.0003197498530894,8675328.0,8708096.0
t_6,productcatalogservice_checkout_replicas_1_users_75,productcatalogservice,checkout,1,75,0.0003331770739979,8732672.0,0.333177073997987,873267.2000000001,6.0,4.0,2.325086114300518,27.37874494680726,1.3149169208959025e-05,0.0003331770739979,1.0,0.2356434527190689,0.0,0,0.0,0,1,6,0.20240721736796996,1.0189473684210526,0.0003243182772921,0.000320027904789,8719018.666666666,8716288.0
t_7,productcatalogservice_checkout_replicas_1_users_75,productcatalogservice,checkout,1,75,0.0003162401191271,8896512.0,0.316240119127143,889651.2000000001,6.0,4.0,2.323340444655159,27.63120426794316,-1.6936954870843963e-05,0.0003162401191271,1.0,0.2392147437023031,0.0,0,0.0,0,1,7,0.200551180231337,1.0221052631578946,0.00032314836597133336,0.0003331770739979,8781824.0,8732672.0
t_8,productcatalogservice_checkout_replicas_1_users_75,productcatalogservice,checkout,1,75,0.0003136567370017,8892416.0,0.3136567370017928,889241.6000000001,6.0,4.0,2.3244688074866677,27.5983894870416,-2.583382125350255e-06,0.0003136567370017,1.0,0.239015268571858,0.0,0,0.0,0,1,8,0.20000455659252853,1.0252631578947369,0.0003210246433755667,0.0003162401191271,8840533.333333334,8896512.0
t_9,productcatalogservice_checkout_replicas_1_users_75,productcatalogservice,checkout,1,75,0.0003204220954918,8892416.0,0.3204220954918203,889241.6000000001,6.0,4.0,2.3229255404521183,27.60551455967915,6.765358490027533e-06,0.0003204220954918,1.0,0.2392632041465759,0.0,0,0.0,0,1,9,0.20076973669763554,1.028421052631579,0.00031677298387353337,0.0003136567370017,8893781.333333334,8892416.0
