timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value,replica_change,replica_scaling_up,load_change,load_increasing,cpu_regime_encoded,time_idx,hour_pattern,growth_trend,cpu_cores_value_roll_mean,cpu_cores_value_lag_1,mem_bytes_value_roll_mean,mem_bytes_value_lag_1
t_0,productcatalogservice_checkout_replicas_1_users_5,productcatalogservice,checkout,1,5,4.259379184095588e-05,0.0,0.0425937918409558,0.0,6.0,2.0,2.467273600478024,27.31849000727054,0.0,4.259379184095588e-05,1.0,0.0015609692043766,0.0,0,0.0,0,0,0,0.24019237886466838,1.0,4.259379184095588e-05,4.259379184095588e-05,0.0,0.0
t_1,productcatalogservice_checkout_replicas_1_users_5,productcatalogservice,checkout,1,5,8.850175069707587e-05,6946816.0,0.0885017506970758,694681.6000000001,6.0,2.0,2.442735745512479,27.30451105853186,4.590795885611999e-05,8.850175069707587e-05,1.0,0.1936768110477338,0.0,0,0.0,0,0,1,0.23145101259348133,1.0029411764705882,6.554777126901587e-05,4.259379184095588e-05,3473408.0,0.0
t_2,productcatalogservice_checkout_replicas_1_users_5,productcatalogservice,checkout,1,5,0.000132105990118,7004160.0,0.132105990118025,700416.0,6.0,2.0,2.4442790068311098,27.28296326100522,4.360423942094917e-05,0.000132105990118,1.0,0.1968467848935106,0.0,0,0.0,0,0,2,0.22372834461651392,1.0058823529411764,8.773384421867723e-05,8.850175069707587e-05,4650325.333333333,6946816.0
t_3,productcatalogservice_checkout_replicas_1_users_5,productcatalogservice,checkout,1,5,0.0001636621818524,7749632.0,0.1636621818524682,774963.2000000001,6.0,2.0,2.4416554625894804,27.37556455106248,3.155619173444315e-05,0.0001636621818524,1.0,0.2184389115746468,0.0,0,0.0,0,0,3,0.21705366965861672,1.0088235294117647,0.00012808997422249194,0.000132105990118,7233536.0,7004160.0
t_4,productcatalogservice_checkout_replicas_1_users_5,productcatalogservice,checkout,1,5,0.0001814663414745,8204288.0,0.1814663414745653,820428.8,6.0,2.0,2.3686062446757035,27.373025165312782,1.780415962209715e-05,0.0001814663414745,1.0,0.2315549027870455,0.0,0,0.0,0,0,4,0.21145230704815426,1.011764705882353,0.00015907817114829998,0.0001636621818524,7652693.333333333,7749632.0
t_5,productcatalogservice_checkout_replicas_1_users_5,productcatalogservice,checkout,1,5,0.0002243059939593,8241152.0,0.2243059939593848,824115.2000000001,6.0,2.0,2.3674245931654383,27.38616587021174,4.283965248481946e-05,0.0002243059939593,1.0,0.2341354369279013,0.0,0,0.0,0,0,5,0.2069455046721198,1.0147058823529411,0.00018981150576206666,0.0001814663414745,8065024.0,8204288.0
t_6,productcatalogservice_checkout_replicas_1_users_5,productcatalogservice,checkout,1,5,0.0002479858606134,8458240.0,0.2479858606134117,845824.0,6.0,2.0,2.358165025253953,27.248126833196125,2.3679866654026943e-05,0.0002479858606134,1.0,0.2409542964293793,0.0,0,0.0,0,0,6,0.2035503583756222,1.0176470588235293,0.0002179193986824,0.0002243059939593,8301226.666666667,8241152.0
t_7,productcatalogservice_checkout_replicas_1_users_5,productcatalogservice,checkout,1,5,0.0002832514626019,8572928.0,0.2832514626019277,857292.8,6.0,2.0,2.341806455276881,27.41584956382968,3.526560198851593e-05,0.0002832514626019,1.0,0.2453906514223158,0.0,0,0.0,0,0,7,0.20127974711148966,1.0205882352941176,0.00025184777239153336,0.0002479858606134,8424106.666666666,8458240.0
t_8,productcatalogservice_checkout_replicas_1_users_5,productcatalogservice,checkout,1,5,0.0003197498530894,8589312.0,0.3197498530894739,858931.2000000001,6.0,2.0,2.3255010024988536,27.35524946506483,3.649839048754626e-05,0.0003197498530894,1.0,0.2471773729283701,0.0,0,0.0,0,1,8,0.20014228408599022,1.0235294117647058,0.0002836623921015667,0.0002832514626019,8540160.0,8572928.0
t_9,productcatalogservice_checkout_replicas_1_users_5,productcatalogservice,checkout,1,5,0.000320027904789,8601600.0,0.320027904789028,860160.0,6.0,2.0,2.320663775212253,27.376131598365816,2.780516995540749e-07,0.000320027904789,1.0,0.2475244144750613,0.0,0,0.0,0,1,9,0.20014228408599022,1.026470588235294,0.00030767640682676666,0.0003197498530894,8587946.666666666,8589312.0
