timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value,replica_change,replica_scaling_up,load_change,load_increasing,cpu_regime_encoded,time_idx,hour_pattern,growth_trend,cpu_cores_value_roll_mean,cpu_cores_value_lag_1,mem_bytes_value_roll_mean,mem_bytes_value_lag_1
t_0,emailservice_browsing_replicas_2_users_50,emailservice,browsing,2,50,0.0001165183894114,0.0,0.1165183894114227,0.0,5.0,1.0,2.633578785431908,28.62316017849659,0.0,0.0001165183894114,1.0,0.023556045630124,0.0,0,0.0,0,0,0,0.24019237886466838,1.0,0.0001165183894114,0.0001165183894114,0.0,0.0
t_1,emailservice_browsing_replicas_2_users_50,emailservice,browsing,2,50,0.0002707407009241,50835456.0,0.270740700924198,5083545.600000001,5.0,1.0,2.5975188469355146,28.65555582949139,0.0001542223115127,0.0002707407009241,1.0,0.5547345387892648,0.0,0,0.0,0,0,1,0.22572021809822423,1.005084745762712,0.00019362954516775,0.0001165183894114,25417728.0,0.0
t_2,emailservice_browsing_replicas_2_users_50,emailservice,browsing,2,50,0.0004192118731335,49418240.0,0.4192118731335199,4941824.0,5.0,1.0,2.571178111958901,28.54885234584947,0.0001484711722093,0.0004192118731335,1.0,0.570811100225266,0.0,0,0.0,0,0,2,0.21435575685736724,1.0101694915254238,0.0002688236544896667,0.0002707407009241,33417898.666666668,50835456.0
t_3,emailservice_browsing_replicas_2_users_50,emailservice,browsing,2,50,0.0005840442716046,48173056.0,0.5840442716046769,4817305.600000001,5.0,1.0,2.5518865594981577,28.62621730233475,0.0001648323984711,0.0005840442716046,1.0,0.5918873911507085,0.0,0,0.0,0,0,3,0.20622775902896456,1.0152542372881357,0.00042466561522073337,0.0004192118731335,49475584.0,49418240.0
t_4,emailservice_browsing_replicas_2_users_50,emailservice,browsing,2,50,0.0007493913013654,47312896.0,0.7493913013654672,4731289.600000001,5.0,1.0,2.5357890253161486,28.719656813194945,0.0001653470297607,0.0007493913013654,1.0,0.6168546861543236,0.0,0,0.0,0,0,4,0.20142831807619527,1.0203389830508474,0.0005842158153678334,0.0005840442716046,48301397.333333336,48173056.0
t_5,emailservice_browsing_replicas_2_users_50,emailservice,browsing,2,50,0.0009138123553788,46956544.0,0.9138123553788662,4695654.4,5.0,1.0,2.519325290851654,28.676783116787064,0.0001644210540133,0.0009138123553788,1.0,0.6465900620381013,0.0,0,0.0,0,0,5,0.2000118135828134,1.0254237288135593,0.0007490826427829334,0.0007493913013654,47480832.0,47312896.0
t_6,emailservice_browsing_replicas_2_users_50,emailservice,browsing,2,50,0.0010783627204964,46940160.0,1.0783627204964228,4694016.0,5.0,1.0,2.4663372619902333,28.650649638815608,0.0001645503651175,0.0010783627204964,1.0,0.6796953881305976,0.0,0,0.0,0,0,6,0.20199429511073552,1.0305084745762711,0.0009138554590802,0.0009138123553788,47069866.666666664,46956544.0
t_7,emailservice_browsing_replicas_2_users_50,emailservice,browsing,2,50,0.0012358375639701,46882816.0,1.2358375639701795,4688281.600000001,5.0,1.0,2.412012652695367,28.635166785828744,0.0001574748434737,0.0012358375639701,1.0,0.710967416564328,0.0,0,0.0,0,1,7,0.20735330035209087,1.035593220338983,0.0010760042132817668,0.0010783627204964,46926506.666666664,46940160.0
t_8,emailservice_browsing_replicas_2_users_50,emailservice,browsing,2,50,0.0014065946884302,46821376.0,1.406594688430275,4682137.600000001,5.0,1.0,2.359795689326305,28.59875249624024,0.00017075712446,0.0014065946884302,1.0,0.7448843825101696,0.0,0,0.0,0,1,8,0.21602810963614494,1.040677966101695,0.0012402649909655668,0.0012358375639701,46881450.666666664,46882816.0
t_9,emailservice_browsing_replicas_2_users_50,emailservice,browsing,2,50,0.0016243230692291,46678016.0,1.6243230692291206,4667801.600000001,5.0,1.0,2.3509504919445305,28.85747392815759,0.0002177283807988,0.0016243230692291,1.0,0.7874915981505792,0.0,0,0.0,0,1,9,0.2279204339074316,1.0457627118644068,0.0014222517738764668,0.0014065946884302,46794069.333333336,46821376.0
t_10,emailservice_browsing_replicas_2_users_50,emailservice,browsing,2,50,0.0016142530041356,46473216.0,1.6142530041356788,4647321.600000001,5.0,1.0,2.351770433228026,28.940262814033176,-1.0070065093441749e-05,0.0016142530041356,1.0,0.7834414322129324,0.0,0,0.0,0,1,10,0.24289552838002543,1.0508474576271187,0.0015483902539316335,0.0016243230692291,46657536.0,46678016.0
t_11,emailservice_browsing_replicas_2_users_50,emailservice,browsing,2,50,0.0016079890499544,46473216.0,1.607989049954488,4647321.600000001,5.0,1.0,2.341637590654244,28.90532777791475,-6.2639541811909324e-06,0.0016079890499544,1.0,0.7821750742477863,0.0,0,0.0,0,1,11,0.2607837192498079,1.0559322033898304,0.0016155217077730335,0.0016142530041356,46541482.666666664,46473216.0
t_12,emailservice_browsing_replicas_2_users_50,emailservice,browsing,2,50,0.0016312347247668,46473216.0,1.631234724766844,4647321.600000001,5.0,1.0,2.3232721687618465,28.92958753482409,2.324567481235603e-05,0.0016312347247668,1.0,0.7868745571306934,0.0,0,0.0,0,1,12,0.28138232616646586,1.0610169491525423,0.0016178255929522667,0.0016079890499544,46473216.0,46473216.0
t_13,emailservice_browsing_replicas_2_users_50,emailservice,browsing,2,50,0.0016059843808371,46473216.0,1.605984380837173,4647321.600000001,5.0,1.0,2.326204463013596,28.64012228495353,-2.5250343929671083e-05,0.0016059843808371,1.0,0.7817697985017061,0.0,0,0.0,0,1,13,0.30445795868284786,1.0661016949152542,0.0016150693851861,0.0016312347247668,46473216.0,46473216.0
t_14,emailservice_browsing_replicas_2_users_50,emailservice,browsing,2,50,0.0016103201153416,46473216.0,1.6103201153416362,4647321.600000001,5.0,1.0,2.322963506209021,28.744458963043314,4.33573450446317e-06,0.0016103201153416,1.0,0.7826463361911056,0.0,0,0.0,0,1,14,0.32974916066198845,1.071186440677966,0.0016158464069818334,0.0016059843808371,46473216.0,46473216.0
t_15,emailservice_browsing_replicas_2_users_50,emailservice,browsing,2,50,0.0022836280701754,46473216.0,2.283628070175437,4647321.600000001,5.0,1.0,2.302644981350724,28.778555755528718,0.0006733079548338,0.0022836280701754,1.0,0.9187662481406924,0.0,0,0.0,0,1,15,0.3569693726796125,1.076271186440678,0.0018333108554513665,0.0016103201153416,46473216.0,46473216.0
t_16,emailservice_browsing_replicas_2_users_50,emailservice,browsing,2,50,0.0023587722331868,49983488.0,2.358772233186802,4998348.8,5.0,2.0,2.6541584253765365,28.733561795813717,7.514416301136447e-05,0.0023587722331868,1.0,0.968483659718005,0.0,0,0.0,0,2,16,0.3858101788569153,1.0813559322033899,0.0020842401395679334,0.0022836280701754,47643306.666666664,46473216.0
t_17,emailservice_browsing_replicas_2_users_50,emailservice,browsing,2,50,0.0024617765030997,50061312.0,2.4617765030997742,5006131.2,5.0,2.0,2.7207268605801858,28.859372303444204,0.0001030042699129,0.0024617765030997,1.0,0.990073061155143,0.0,0,0.0,0,2,17,0.41594480133570666,1.0864406779661018,0.0023680589354872997,0.0023587722331868,48839338.666666664,49983488.0
t_18,emailservice_browsing_replicas_2_users_50,emailservice,browsing,2,50,0.0024012776242878,49893376.0,2.401277624287864,4989337.600000001,5.0,2.0,2.713730298069194,28.78785039816573,-6.049887881191037e-05,0.0024012776242878,1.0,0.9761904900411044,0.0,0,0.0,0,2,18,0.4470318028021177,1.0915254237288137,0.0024072754535247667,0.0024617765030997,49979392.0,50061312.0
